level_0,index,Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,BRAIN_N01_neg m/z,BRAIN_N01_neg RT mean,BRAIN_N01_neg Normalized Area,BRAIN_N50_neg m/z,BRAIN_N50_neg RT mean,BRAIN_N50_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM,Ratio_N50/N01,[M-H]-,[M+HCOO]-
206,206,,0.54,8.96,1060.4692,7.29 - 7.94,1,10000.0,-,-,0.0,1060.4692,7.61,20700.0,00:01.0,0.0,20700.0,00:01.0,7.61,,,#DIV/0!,[],[]
207,207,,0.47,10.07,962.5314,6.66 - 7.61,1,10000.0,-,-,0.0,962.5314,6.93,20100.0,00:01.0,0.0,20100.0,00:01.0,6.93,,,#DIV/0!,[],[]
208,208,,0.51,11.58,806.4954,6.26 - 6.64,1,10000.0,-,-,0.0,806.4954,6.38,20100.0,00:01.0,0.0,20100.0,00:01.0,6.38,,,#DIV/0!,['Phosphatidylserine (38:6)'],['Phosphatidylethanolamine (38:7)']
209,209,,0.55,9.68,303.232,2.19 - 3.24,1,10000.0,-,-,0.0,303.232,3.15,20500.0,00:01.0,0.0,20500.0,00:01.0,3.15,,,#DIV/0!,['eicosatetraenoate'],[]
210,210,,0.48,9.6,563.3311,5.57 - 6.38,1,9900.0,-,-,0.0,563.3311,5.99,19900.0,00:01.0,0.0,19900.0,00:01.0,5.99,,,#DIV/0!,['Lysophosphatidylglycerol (22:2)'],['Phosphatidate (O-24:2)']
211,211,,0.51,10.87,898.6515,12.86 - 13.27,1,9800.0,-,-,0.0,898.6515,12.94,19600.0,00:01.0,0.0,19600.0,00:01.0,12.94,,,#DIV/0!,['Phosphatidylserine (44:2)'],['Phosphatidylcholine (41:3)' 'Phosphatidylethanolamine (44:3)']
212,212,,0.53,8.94,1052.7896,14.59 - 15.30,1,9700.0,-,-,0.0,1052.7896,15.07,19400.0,00:01.0,0.0,19400.0,00:01.0,15.07,,,#DIV/0!,[],['Phosphatidylserine (O-53:4)']
213,213,,0.42,8.19,876.4956,4.13 - 8.10,1,9700.0,-,-,0.0,876.4956,4.71,19400.0,00:01.0,0.0,19400.0,00:01.0,4.71,,,#DIV/0!,[],['Phosphatidylserine (40:8)']
214,214,,0.45,9.25,762.5619,8.93 - 9.17,1,9600.0,-,-,0.0,762.5619,9.01,19200.0,00:01.0,0.0,19200.0,00:01.0,9.01,,,#DIV/0!,['Phosphatidylserine (O-35:0)' 'Hexosyl ceramide (t38:5)'],['Phosphatidylcholine (O-32:1)' 'Phosphatidylethanolamine (O-35:1)']
215,215,,0.41,6.84,968.4808,7.04 - 8.10,1,9600.0,-,-,0.0,968.4808,7.91,19100.0,00:01.0,0.0,19100.0,00:01.0,7.91,,,#DIV/0!,[],[]
216,216,,0.57,9.72,441.2014,3.30 - 3.76,1,9600.0,-,-,0.0,441.2014,3.68,19300.0,00:01.0,0.0,19300.0,00:01.0,3.68,,,#DIV/0!,[],[]
217,217,,0.49,9.99,818.6252,11.35 - 12.08,1,9500.0,-,-,0.0,818.6252,11.89,19100.0,00:01.0,0.0,19100.0,00:01.0,11.89,,,#DIV/0!,['Phosphatidylserine (O-39:0)'],['Phosphatidylcholine (O-36:1)' 'Phosphatidylethanolamine (O-39:1)']
218,218,,0.48,9.76,880.6719,11.61 - 12.03,1,9400.0,-,-,0.0,880.6719,11.86,18700.0,00:01.0,0.0,18700.0,00:01.0,11.86,,,#DIV/0!,['Phosphatidylcholine (43:3)' 'Phosphatidylethanolamine (46:3)'],[]
219,219,,0.38,6.44,1026.5203,10.72 - 11.58,1,9400.0,-,-,0.0,1026.5203,11.21,18800.0,00:01.0,0.0,18800.0,00:01.0,11.21,,,#DIV/0!,[],[]
220,220,,0.44,8.05,992.4845,3.85 - 7.98,1,9300.0,-,-,0.0,992.4845,4.51,18600.0,00:01.0,0.0,18600.0,00:01.0,4.51,,,#DIV/0!,[],[]
221,221,,0.46,9.6,565.3277,5.60 - 6.34,1,9100.0,-,-,0.0,565.3277,6.22,18300.0,00:01.0,0.0,18300.0,00:01.0,6.22,,,#DIV/0!,['Lysophosphatidate (28:6)'],[]
222,222,,0.47,9.78,872.5747,10.44 - 11.08,1,9000.0,-,-,0.0,872.5747,10.92,17900.0,00:01.0,0.0,17900.0,00:01.0,10.92,,,#DIV/0!,['Phosphatidylserine (O-44:8)'],['Phosphatidylethanolamine (O-44:9)' 'Phosphatidylserine (39:3)']
223,223,,0.49,9.96,882.5344,12.08 - 12.71,1,8900.0,-,-,0.0,882.5344,12.44,17700.0,00:01.0,0.0,17700.0,00:01.0,12.44,,,#DIV/0!,['Phosphatidylserine (44:10)'],['Phosphatidylethanolamine (44:11)']
224,224,,0.48,9.32,874.5909,11.75 - 12.36,1,8900.0,-,-,0.0,874.5909,12.03,17900.0,00:01.0,0.0,17900.0,00:01.0,12.03,,,#DIV/0!,['Phosphatidylserine (O-44:7)'],['Phosphatidylethanolamine (O-44:8)' 'Phosphatidylserine (39:2)']
225,225,,0.48,10.47,747.5626,6.26 - 7.19,1,8900.0,-,-,0.0,747.5626,6.97,17800.0,00:01.0,0.0,17800.0,00:01.0,6.97,,,#DIV/0!,[],"['Phosphatidate (O-37:1)' 'Sphingomyelin (d34:1)'
 'Ceramide phosphoethanolamine (d37:1)']"
226,226,,0.47,10.01,1060.6461,12.06 - 12.58,1,8800.0,-,-,0.0,1060.6461,12.3,17600.0,00:01.0,0.0,17600.0,00:01.0,12.3,,,#DIV/0!,[],[]
227,227,,0.47,9.79,952.6674,11.74 - 12.37,1,8800.0,-,-,0.0,952.6674,12.18,17600.0,00:01.0,0.0,17600.0,00:01.0,12.18,,,#DIV/0!,[],['Phosphatidylserine (O-46:5)']
228,228,,0.47,10.18,1064.5962,11.14 - 11.71,1,8800.0,-,-,0.0,1064.5962,11.42,17600.0,00:01.0,0.0,17600.0,00:01.0,11.42,,,#DIV/0!,[],[]
229,229,,0.45,8.53,870.4971,10.17 - 10.63,1,8800.0,-,-,0.0,870.4971,10.47,17600.0,00:01.0,0.0,17600.0,00:01.0,10.47,,,#DIV/0!,[],['Sulfohexosyl ceramide (d38:6)']
230,230,,0.5,11.19,852.5235,10.14 - 10.52,1,8800.0,-,-,0.0,852.5235,10.32,17500.0,00:01.0,0.0,17500.0,00:01.0,10.32,,,#DIV/0!,['Sulfohexosyl ceramide (d40:6)'],[]
231,231,,0.47,10.14,1034.6692,12.43 - 13.04,1,8700.0,-,-,0.0,1034.6692,12.84,17400.0,00:01.0,0.0,17400.0,00:01.0,12.84,,,#DIV/0!,[],['Dihexosyl ceramide (d44:7)']
232,232,,0.46,9.69,886.7032,12.52 - 13.67,1,8700.0,-,-,0.0,886.7032,12.78,17400.0,00:01.0,0.0,17400.0,00:01.0,12.78,,,#DIV/0!,['Ceramide phosphate (d54:6)'],['Hexosyl ceramide (t43:1)']
233,233,,0.49,9.98,976.5359,12.19 - 12.81,1,8700.0,-,-,0.0,976.5359,12.54,17500.0,00:01.0,0.0,17500.0,00:01.0,12.54,,,#DIV/0!,[],[]
234,234,,0.47,10.27,627.5283,9.81 - 10.58,1,8700.0,-,-,0.0,627.5283,10.36,17400.0,00:01.0,0.0,17400.0,00:01.0,10.36,,,#DIV/0!,['Monoalkylmonoacylglycerol (O-38:5)'],['Diacylglycerol (33:0)' 'Sterol ester (40:1)']
235,235,,0.49,10.08,868.6027,10.76 - 11.00,1,8600.0,-,-,0.0,868.6027,10.87,17300.0,00:01.0,0.0,17300.0,00:01.0,10.87,,,#DIV/0!,['Phosphatidylserine (42:3)'],['Phosphatidylcholine (39:4)' 'Phosphatidylethanolamine (42:4)']
236,236,,0.49,9.94,925.5024,6.34 - 6.89,1,8600.0,-,-,0.0,925.5024,6.48,17200.0,00:01.0,0.0,17200.0,00:01.0,6.48,,,#DIV/0!,['Phosphatidylglycerophosphate (42:8)'],['Phosphatidylinositol (38:7)']
237,237,,0.45,9.25,842.6711,11.13 - 11.95,1,8500.0,-,-,0.0,842.6711,11.75,16900.0,00:01.0,0.0,16900.0,00:01.0,11.75,,,#DIV/0!,['Phosphatidylcholine (40:1)' 'Phosphatidylethanolamine (43:1)'],['Hexosyl ceramide (d41:1)']
238,238,,0.49,10.21,1544.8634,6.60 - 6.93,1,8500.0,-,-,0.0,1544.8634,6.77,17100.0,00:01.0,0.0,17100.0,00:01.0,6.77,,,#DIV/0!,['Ganglioside GM1 (d36:1)'],['Ganglioside GD3 (d38:1)']
239,239,,0.47,10.0,914.6443,12.01 - 12.58,1,8400.0,-,-,0.0,914.6443,12.29,16800.0,00:01.0,0.0,16800.0,00:01.0,12.29,,,#DIV/0!,[],[]
240,240,,0.49,10.03,980.5167,10.17 - 10.80,1,8400.0,-,-,0.0,980.5167,10.64,16900.0,00:01.0,0.0,16900.0,00:01.0,10.64,,,#DIV/0!,[],[]
241,241,,0.4,7.28,841.5704,6.50 - 7.80,1,8400.0,-,-,0.0,841.5704,7.28,16900.0,00:01.0,0.0,16900.0,00:01.0,7.28,,,#DIV/0!,[],[]
242,242,,0.49,9.8,886.6968,13.34 - 13.73,1,8300.0,-,-,0.0,886.6968,13.57,16700.0,00:01.0,0.0,16700.0,00:01.0,13.57,,,#DIV/0!,['Phosphatidylserine (O-44:1)' 'Ceramide phosphate (d54:6)'],"['Phosphatidylcholine (O-41:2)' 'Phosphatidylethanolamine (O-44:2)'
 'Hexosyl ceramide (t43:1)']"
243,243,,0.45,9.46,968.6465,11.54 - 12.11,1,8300.0,-,-,0.0,968.6465,11.91,16600.0,00:01.0,0.0,16600.0,00:01.0,11.91,,,#DIV/0!,['Phosphatidylserine (50:9)'],['Phosphatidylethanolamine (50:10)']
244,244,,0.49,10.69,858.6574,12.13 - 12.22,1,8200.0,-,-,0.0,858.6574,12.18,16400.0,00:01.0,0.0,16400.0,00:01.0,12.18,,,#DIV/0!,['Phosphatidylserine (O-42:1)'],['Phosphatidylcholine (O-39:2)' 'Phosphatidylethanolamine (O-42:2)']
245,245,,0.45,9.23,884.5614,10.01 - 10.47,1,8200.0,-,-,0.0,884.5614,10.17,16400.0,00:01.0,0.0,16400.0,00:01.0,10.17,,,#DIV/0!,[],['Phosphatidylserine (40:4)']
246,246,,0.49,9.91,864.5303,7.94 - 8.72,1,8200.0,-,-,0.0,864.5303,8.22,16300.0,00:01.0,0.0,16300.0,00:01.0,8.22,,,#DIV/0!,[],['Phosphatidylserine (O-40:7)']
247,247,,0.48,10.5,906.6294,11.08 - 11.35,1,8100.0,-,-,0.0,906.6294,11.22,16200.0,00:01.0,0.0,16200.0,00:01.0,11.22,,,#DIV/0!,['Phosphatidylserine (45:5)'],['Phosphatidylcholine (42:6)' 'Phosphatidylethanolamine (45:6)']
248,248,,0.48,10.69,994.4949,8.26 - 8.84,1,8100.0,-,-,0.0,994.4949,8.47,16200.0,00:01.0,0.0,16200.0,00:01.0,8.47,,,#DIV/0!,[],[]
249,249,,0.5,11.51,1427.9907,16.37 - 16.58,1,8000.0,-,-,0.0,1427.9907,16.48,16000.0,00:01.0,0.0,16000.0,00:01.0,16.48,,,#DIV/0!,[],[]
250,250,,0.46,9.5,1061.6309,11.14 - 11.45,1,7900.0,-,-,0.0,1061.6309,11.29,15900.0,00:01.0,0.0,15900.0,00:01.0,11.29,,,#DIV/0!,['Phosphatidylglycerophosphate (52:10)'],['Phosphatidylinositol (48:9)' 'Phosphatidylinositol monophosphate (41:0)']
251,251,,0.37,5.57,1068.4946,10.66 - 11.42,1,7900.0,-,-,0.0,1068.4946,10.96,15800.0,00:01.0,0.0,15800.0,00:01.0,10.96,,,#DIV/0!,[],[]
252,252,,0.48,9.66,884.7181,13.53 - 14.02,1,7800.0,-,-,0.0,884.7181,13.74,15500.0,00:01.0,0.0,15500.0,00:01.0,13.74,,,#DIV/0!,['Phosphatidylcholine (43:1)' 'Phosphatidylethanolamine (46:1)'],['Hexosyl ceramide (d44:1)']
253,253,,0.51,11.53,1053.8813,16.82 - 17.16,1,7600.0,-,-,0.0,1053.8813,16.87,15200.0,00:01.0,0.0,15200.0,00:01.0,16.87,,,#DIV/0!,['Triacylglycerol (67:9)'],[]
254,254,,0.49,10.61,694.6345,13.42 - 14.03,1,7600.0,-,-,0.0,694.6345,13.79,15100.0,00:01.0,0.0,15100.0,00:01.0,13.79,,,#DIV/0!,[],['Ceramide (d42:1)']
255,255,,0.46,10.09,547.2306,5.57 - 6.36,1,7600.0,-,-,0.0,547.2306,6.24,15100.0,00:01.0,0.0,15100.0,00:01.0,6.24,,,#DIV/0!,[],[]
256,256,,0.47,10.39,824.6135,11.74 - 12.50,1,7500.0,-,-,0.0,824.6135,12.22,15000.0,00:01.0,0.0,15000.0,00:01.0,12.22,,,#DIV/0!,['Phosphatidylcholine (39:3)' 'Phosphatidylethanolamine (42:3)'],[]
257,257,,0.42,7.84,882.6626,10.54 - 11.41,1,7500.0,-,-,0.0,882.6626,11.11,15100.0,00:01.0,0.0,15100.0,00:01.0,11.11,,,#DIV/0!,['Phosphatidylserine (O-44:3)'],['Phosphatidylcholine (O-41:4)' 'Phosphatidylethanolamine (O-44:4)']
258,258,,0.39,6.34,1502.0785,9.43 - 9.84,1,7500.0,-,-,0.0,1502.0785,9.61,15000.0,00:01.0,0.0,15000.0,00:01.0,9.61,,,#DIV/0!,[],[]
259,259,,0.48,9.92,840.5707,11.29 - 11.83,1,7400.0,-,-,0.0,840.5707,11.69,14800.0,00:01.0,0.0,14800.0,00:01.0,11.69,,,#DIV/0!,['Phosphatidylserine (40:3)'],['Phosphatidylcholine (37:4)' 'Phosphatidylethanolamine (40:4)']
260,260,,0.39,6.4,1428.0696,9.64 - 9.84,1,7400.0,-,-,0.0,1428.0696,9.65,14800.0,00:01.0,0.0,14800.0,00:01.0,9.65,,,#DIV/0!,[],[]
261,261,,0.47,10.0,992.6609,12.93 - 13.50,1,7300.0,-,-,0.0,992.6609,13.29,14600.0,00:01.0,0.0,14600.0,00:01.0,13.29,,,#DIV/0!,[],['Phosphatidylserine (48:6)']
262,262,,0.47,9.27,1477.071,9.72 - 9.93,1,7300.0,-,-,0.0,1477.071,9.88,14600.0,00:01.0,0.0,14600.0,00:01.0,9.88,,,#DIV/0!,[],[]
263,263,,0.45,8.43,862.6039,8.80 - 9.47,1,7200.0,-,-,0.0,862.6039,9.34,14500.0,00:01.0,0.0,14500.0,00:01.0,9.34,,,#DIV/0!,['Phosphatidylserine (O-43:6)' 'Sulfohexosyl ceramide (d40:1)'],"['Phosphatidylcholine (O-40:7)' 'Phosphatidylethanolamine (O-43:7)'
 'Hexosyl ceramide (t42:6)']"
264,264,,0.48,9.89,868.603,10.47 - 10.80,1,7100.0,-,-,0.0,868.603,10.6,14100.0,00:01.0,0.0,14100.0,00:01.0,10.6,,,#DIV/0!,['Phosphatidylserine (42:3)'],['Phosphatidylcholine (39:4)' 'Phosphatidylethanolamine (42:4)']
265,265,,0.47,10.45,911.5636,8.21 - 8.43,1,7100.0,-,-,0.0,911.5636,8.34,14200.0,00:01.0,0.0,14200.0,00:01.0,8.34,,,#DIV/0!,['Phosphatidylinositol (40:5)'],[]
266,266,,0.51,11.13,942.7151,13.86 - 14.38,1,7000.0,-,-,0.0,942.7151,14.09,14000.0,00:01.0,0.0,14000.0,00:01.0,14.09,,,#DIV/0!,['Phosphatidylserine (47:1)'],['Phosphatidylcholine (44:2)']
267,267,,0.48,9.32,920.5954,13.41 - 13.99,1,7000.0,-,-,0.0,920.5954,13.68,13900.0,00:01.0,0.0,13900.0,00:01.0,13.68,,,#DIV/0!,[],['Phosphatidylserine (O-44:7)']
268,268,,0.4,6.83,1116.5923,11.45 - 12.10,1,7000.0,-,-,0.0,1116.5923,11.76,14000.0,00:01.0,0.0,14000.0,00:01.0,11.76,,,#DIV/0!,[],[]
269,269,,0.44,8.47,598.4946,8.72 - 9.26,1,7000.0,-,-,0.0,598.4946,9.17,14100.0,00:01.0,0.0,14100.0,00:01.0,9.17,,,#DIV/0!,[],[]
270,270,,0.47,9.74,685.5134,10.24 - 10.65,1,6900.0,-,-,0.0,685.5134,10.41,13700.0,00:01.0,0.0,13700.0,00:01.0,10.41,,,#DIV/0!,['Phosphatidate (O-36:2)'],['Diacylglycerol (38:6)']
271,271,,0.48,11.03,784.511,6.58 - 7.09,1,6900.0,-,-,0.0,784.511,6.84,13800.0,00:01.0,0.0,13800.0,00:01.0,6.84,,,#DIV/0!,['Phosphatidylserine (36:3)'],['Phosphatidylcholine (33:4)' 'Phosphatidylethanolamine (36:4)']
272,272,,0.48,9.5,568.361,1.96 - 3.08,1,6900.0,-,-,0.0,568.361,2.93,13800.0,00:01.0,0.0,13800.0,00:01.0,2.93,,,#DIV/0!,[],"['Lysophosphatidylcholine (18:0)' 'Lysophosphatidylethanolamine (21:0)'
 'Phosphatidylcholine (O-18:0)' 'Phosphatidylethanolamine (O-21:0)']"
273,273,,0.48,9.44,683.4995,9.09 - 9.34,1,6800.0,-,-,0.0,683.4995,9.17,13700.0,00:01.0,0.0,13700.0,00:01.0,9.17,,,#DIV/0!,['Phosphatidate (O-36:3)'],[]
274,274,,0.34,5.17,1082.4695,5.82 - 7.54,1,6800.0,-,-,0.0,1082.4695,6.46,13600.0,00:01.0,0.0,13600.0,00:01.0,6.46,,,#DIV/0!,[],[]
275,275,,0.48,9.6,1134.9084,16.29 - 16.65,1,6700.0,-,-,0.0,1134.9084,16.36,13400.0,00:01.0,0.0,13400.0,00:01.0,16.36,,,#DIV/0!,[],['Phosphatidylcholine (58:4)']
276,276,,0.48,9.59,900.7118,13.97 - 14.32,1,6700.0,-,-,0.0,900.7118,14.14,13400.0,00:01.0,0.0,13400.0,00:01.0,14.14,,,#DIV/0!,['Phosphatidylserine (O-45:1)'],['Phosphatidylcholine (O-42:2)' 'Hexosyl ceramide (t44:1)']
277,277,,0.45,8.55,1076.6412,12.48 - 13.20,1,6700.0,-,-,0.0,1076.6412,12.92,13300.0,00:01.0,0.0,13300.0,00:01.0,12.92,,,#DIV/0!,[],[]
278,278,,0.39,6.85,936.4694,5.66 - 7.47,1,6700.0,-,-,0.0,936.4694,6.1,13400.0,00:01.0,0.0,13400.0,00:01.0,6.1,,,#DIV/0!,[],[]
279,279,,0.41,7.92,1194.606,11.54 - 12.06,1,6600.0,-,-,0.0,1194.606,11.91,13200.0,00:01.0,0.0,13200.0,00:01.0,11.91,,,#DIV/0!,[],[]
280,280,,0.44,8.72,1101.2637,10.82 - 11.06,1,6500.0,-,-,0.0,1101.2637,10.9,13000.0,00:01.0,0.0,13000.0,00:01.0,10.9,,,#DIV/0!,[],[]
281,281,,0.37,6.03,1500.0736,9.47 - 10.01,1,6500.0,-,-,0.0,1500.0736,9.76,13100.0,00:01.0,0.0,13100.0,00:01.0,9.76,,,#DIV/0!,[],[]
282,282,,0.49,10.01,760.526,8.80 - 9.13,1,6500.0,-,-,0.0,760.526,9.01,13000.0,00:01.0,0.0,13000.0,00:01.0,9.01,,,#DIV/0!,['Phosphatidylcholine (O-36:7)' 'Phosphatidylethanolamine (O-39:7)'],[]
283,283,,0.47,10.12,519.3876,7.91 - 8.34,1,6500.0,-,-,0.0,519.3876,8.26,13000.0,00:01.0,0.0,13000.0,00:01.0,8.26,,,#DIV/0!,[],[]
284,284,,0.48,9.74,951.5184,6.47 - 6.84,1,6500.0,-,-,0.0,951.5184,6.62,13000.0,00:01.0,0.0,13000.0,00:01.0,6.62,,,#DIV/0!,['Phosphatidylglycerophosphate (44:9)'],['Phosphatidylinositol (40:8)']
285,285,,0.48,9.87,1502.0007,16.24 - 16.64,1,6400.0,-,-,0.0,1502.0007,16.4,12900.0,00:01.0,0.0,12900.0,00:01.0,16.4,,,#DIV/0!,[],[]
286,286,,0.46,9.51,950.5206,12.07 - 12.71,1,6400.0,-,-,0.0,950.5206,12.42,12800.0,00:01.0,0.0,12800.0,00:01.0,12.42,,,#DIV/0!,[],[]
287,287,,0.44,8.37,859.669,12.07 - 12.33,1,6400.0,-,-,0.0,859.669,12.19,12900.0,00:01.0,0.0,12900.0,00:01.0,12.19,,,#DIV/0!,['Sphingomyelin (d46:6)'],[]
288,288,,0.48,9.9,938.485,10.21 - 10.63,1,6400.0,-,-,0.0,938.485,10.47,12900.0,00:01.0,0.0,12900.0,00:01.0,10.47,,,#DIV/0!,[],[]
289,289,,0.44,8.05,927.6758,11.58 - 12.02,1,6300.0,-,-,0.0,927.6758,11.89,12700.0,00:01.0,0.0,12700.0,00:01.0,11.89,,,#DIV/0!,[],['Triacylglycerol (55:11)']
290,290,,0.47,9.45,1044.5248,12.22 - 12.78,1,6200.0,-,-,0.0,1044.5248,12.55,12500.0,00:01.0,0.0,12500.0,00:01.0,12.55,,,#DIV/0!,[],[]
291,291,,0.5,11.09,500.2778,0.80 - 1.82,1,6200.0,-,-,0.0,500.2778,1.69,12500.0,00:01.0,0.0,12500.0,00:01.0,1.69,,,#DIV/0!,['Lysophosphatidylethanolamine (20:4)'],[]
292,292,,0.44,8.47,870.7013,12.78 - 13.24,1,6000.0,-,-,0.0,870.7013,12.98,12000.0,00:01.0,0.0,12000.0,00:01.0,12.98,,,#DIV/0!,['Phosphatidylcholine (42:1)' 'Phosphatidylethanolamine (45:1)'],['Hexosyl ceramide (d43:1)']
293,293,,0.46,9.5,944.4824,7.56 - 7.87,1,6000.0,-,-,0.0,944.4824,7.69,12000.0,00:01.0,0.0,12000.0,00:01.0,7.69,,,#DIV/0!,[],[]
294,294,,0.44,8.26,1175.772,6.81 - 7.56,1,6000.0,-,-,0.0,1175.772,7.13,11900.0,00:01.0,0.0,11900.0,00:01.0,7.13,,,#DIV/0!,['Phosphatidylglycerophosphate (60:9)'],['Phosphatidylinositol (56:8)']
295,295,,0.47,9.97,511.3331,5.54 - 6.47,1,6000.0,-,-,0.0,511.3331,6.24,12100.0,00:01.0,0.0,12100.0,00:01.0,6.24,,,#DIV/0!,[],[]
296,296,,0.48,9.78,1449.9753,16.05 - 16.35,1,5900.0,-,-,0.0,1449.9753,16.21,11800.0,00:01.0,0.0,11800.0,00:01.0,16.21,,,#DIV/0!,['Ganglioside GM3 (d56:6)'],[]
297,297,,0.46,9.43,866.5844,11.54 - 12.10,1,5900.0,-,-,0.0,866.5844,11.71,11700.0,00:01.0,0.0,11700.0,00:01.0,11.71,,,#DIV/0!,['Phosphatidylserine (42:4)'],"['Phosphatidylcholine (39:5)' 'Phosphatidylethanolamine (42:5)'
 'Dihexosyl ceramide (d31:0)']"
298,298,,0.46,9.52,1089.5061,7.72 - 7.91,1,5900.0,-,-,0.0,1089.5061,7.76,11700.0,00:01.0,0.0,11700.0,00:01.0,7.76,,,#DIV/0!,[],[]
299,299,,0.42,8.68,986.5311,6.63 - 7.38,1,5900.0,-,-,0.0,986.5311,7.29,11700.0,00:01.0,0.0,11700.0,00:01.0,7.29,,,#DIV/0!,[],[]
300,300,,0.48,10.09,925.4963,6.81 - 7.87,1,5900.0,-,-,0.0,925.4963,7.12,11900.0,00:01.0,0.0,11900.0,00:01.0,7.12,,,#DIV/0!,['Phosphatidylglycerophosphate (42:8)'],[]
301,301,,0.42,7.84,876.496,6.67 - 8.10,1,5900.0,-,-,0.0,876.496,6.76,11800.0,00:01.0,0.0,11800.0,00:01.0,6.76,,,#DIV/0!,[],['Phosphatidylserine (40:8)']
302,302,,0.42,8.14,1475.9889,16.10 - 16.44,1,5800.0,-,-,0.0,1475.9889,16.27,11500.0,00:01.0,0.0,11500.0,00:01.0,16.27,,,#DIV/0!,[],[]
303,303,,0.47,9.99,878.6233,13.52 - 14.00,1,5800.0,-,-,0.0,878.6233,13.77,11700.0,00:01.0,0.0,11700.0,00:01.0,13.77,,,#DIV/0!,['Phosphatidylserine (O-44:5)'],['Phosphatidylcholine (O-41:6)' 'Phosphatidylethanolamine (O-44:6)']
304,304,,0.46,9.59,826.6744,12.50 - 13.07,1,5800.0,-,-,0.0,826.6744,12.8,11600.0,00:01.0,0.0,11600.0,00:01.0,12.8,,,#DIV/0!,"['Phosphatidylcholine (O-40:2)' 'Phosphatidylethanolamine (O-43:2)'
 'Hexosyl ceramide (t42:1)']",[]
305,305,,0.45,9.26,1018.6757,12.88 - 13.45,1,5700.0,-,-,0.0,1018.6757,13.22,11500.0,00:01.0,0.0,11500.0,00:01.0,13.22,,,#DIV/0!,[],['Phosphatidylserine (50:7)']
306,306,,0.48,9.28,858.6538,12.52 - 12.75,1,5700.0,-,-,0.0,858.6538,12.58,11500.0,00:01.0,0.0,11500.0,00:01.0,12.58,,,#DIV/0!,['Phosphatidylserine (O-42:1)' 'Hexosyl ceramide (t45:6)'],['Phosphatidylcholine (O-39:2)' 'Phosphatidylethanolamine (O-42:2)']
307,307,,0.43,8.89,1122.5396,12.19 - 12.82,1,5700.0,-,-,0.0,1122.5396,12.47,11400.0,00:01.0,0.0,11400.0,00:01.0,12.47,,,#DIV/0!,[],[]
308,308,,0.43,8.76,1096.5215,12.04 - 12.67,1,5700.0,-,-,0.0,1096.5215,12.45,11500.0,00:01.0,0.0,11500.0,00:01.0,12.45,,,#DIV/0!,[],[]
309,309,,0.46,9.37,931.5203,7.94 - 8.26,1,5700.0,-,-,0.0,931.5203,8.09,11400.0,00:01.0,0.0,11400.0,00:01.0,8.09,,,#DIV/0!,[],[]
310,310,,0.46,9.87,870.7031,13.66 - 14.11,1,5600.0,-,-,0.0,870.7031,13.95,11200.0,00:01.0,0.0,11200.0,00:01.0,13.95,,,#DIV/0!,['Phosphatidylcholine (42:1)' 'Phosphatidylethanolamine (45:1)'],['Hexosyl ceramide (d43:1)']
311,311,,0.43,9.24,956.6528,12.47 - 13.01,1,5500.0,-,-,0.0,956.6528,12.77,10900.0,00:01.0,0.0,10900.0,00:01.0,12.77,,,#DIV/0!,[],[]
312,312,,0.45,9.28,866.6688,11.13 - 11.81,1,5500.0,-,-,0.0,866.6688,11.51,10900.0,00:01.0,0.0,10900.0,00:01.0,11.51,,,#DIV/0!,['Phosphatidylcholine (42:3)'],[]
313,313,,0.47,9.25,838.668,14.60 - 14.95,1,5400.0,-,-,0.0,838.668,14.76,10700.0,00:01.0,0.0,10700.0,00:01.0,14.76,,,#DIV/0!,['Phosphatidylethanolamine (O-44:3)'],[]
314,314,,0.34,5.31,948.4998,10.66 - 11.35,1,5400.0,-,-,0.0,948.4998,10.96,10800.0,00:01.0,0.0,10800.0,00:01.0,10.96,,,#DIV/0!,[],[]
315,315,,0.39,6.98,916.65,10.32 - 11.63,1,5400.0,-,-,0.0,916.65,10.44,10800.0,00:01.0,0.0,10800.0,00:01.0,10.44,,,#DIV/0!,['Phosphatidylserine (O-47:7)' 'Sulfohexosyl ceramide (d44:2)'],['Phosphatidylcholine (O-44:8)']
316,316,,0.39,7.05,910.6196,10.01 - 10.52,1,5400.0,-,-,0.0,910.6196,10.17,10700.0,00:01.0,0.0,10700.0,00:01.0,10.17,,,#DIV/0!,['Dihexosyl ceramide (d38:4)'],['Phosphatidylserine (O-43:5)']
317,317,,0.39,6.55,966.4674,6.60 - 7.69,1,5400.0,-,-,0.0,966.4674,6.9,10800.0,00:01.0,0.0,10800.0,00:01.0,6.9,,,#DIV/0!,[],[]
318,318,,0.48,9.54,812.6519,14.51 - 14.90,1,5300.0,-,-,0.0,812.6519,14.65,10600.0,00:01.0,0.0,10600.0,00:01.0,14.65,,,#DIV/0!,['Phosphatidylcholine (O-39:2)' 'Phosphatidylethanolamine (O-42:2)'],[]
319,319,,0.43,9.11,896.6429,11.58 - 12.12,1,5300.0,-,-,0.0,896.6429,11.9,10500.0,00:01.0,0.0,10500.0,00:01.0,11.9,,,#DIV/0!,['Phosphatidylserine (44:3)'],['Phosphatidylcholine (41:4)' 'Phosphatidylethanolamine (44:4)']
